station,region,lat,lon,model_lon,model_lat,note
Y32,NW,-32.059279,115.527994,115.527994,-32.059279,
Y32PK,NW,-32.051024,115.517789,115.517789,-32.051024,
Y33,NW,-32.07178,115.501659,115.501659,-32.07178,
Y33N10,NW,-32.041776,115.499988,115.499988,-32.041776,
Y33N15,NW,-32.025107,115.499995,115.499995,-32.025107,
Y33N5,NW,-32.058446,115.499991,115.499991,-32.058446,
Y33PK,NW,-32.067279,115.500154,115.500154,-32.067279,
Y34,NW,-32.085108,115.474159,115.474159,-32.085108,
Y34PK,NW,-32.083611,115.467414,115.467414,-32.083611,
Y35,NW,-32.098446,115.444987,115.444987,-32.098446,
Y35PK,NW,-32.08494,115.434494,115.434494,-32.08494,
Y35W1,NW,-32.099126,115.392512,115.392512,-32.099126,
Y35WPK,NW,-32.101126,115.416659,115.416659,-32.101126,
Y37,NW,-32.111777,115.506327,115.506327,-32.111777,
Y38,NW,-32.117607,115.537488,115.537488,-32.117607,
Y39,NW,-32.124274,115.568323,115.568323,-32.124274,
Y39.5BO,NW,-32.119726,115.569814,115.569814,-32.119726,
Y39BO,NW,-32.123444,115.580324,115.580324,-32.123444,
Y4,NW,-32.000607,115.723329,115.723329,-32.000607,
Y40,NW,-32.12928,115.591661,115.591661,-32.12928,
Y41,NW,-32.135113,115.618329,115.618329,-32.135113,
Y41BO,NW,-32.137616,115.635328,115.635328,-32.137616,
Y42,NW,-32.140949,115.645827,115.645827,-32.140949,
Y42BO,OA,-32.143445,115.658322,115.658322,-32.143445,
Y5,N,-31.973945,115.725497,115.725497,-31.973945,
Y6,N,-31.947273,115.726659,115.726659,-31.947273,
Y7,N,-31.939614,115.747489,115.747489,-31.939614,
Y8,N,-31.920447,115.727822,115.727822,-31.920447,
Y9,N,-31.893443,115.729156,115.729156,-31.893443,
YMILLE,NW,-32.02011,115.625828,115.625828,-32.02011,
YMILLW,NW,-32.022608,115.616664,115.616664,-32.022608,
